customer_id,age,tenure_months,monthly_charges,total_charges,call_minutes,data_usage_gb,support_calls,contract_type,payment_method,internet_service,streaming_tv,streaming_movies,churn
1,52.450712295168486,24,99.89711531738342,2784.5744488967116,675.8306237452248,21.53967415150488,3,2 Year,Credit Card,DSL,No,Yes,0
2,42.92603548243223,32,56.00513862315406,1413.6806012788413,846.0444351301576,131.81384631263248,2,2 Year,Mailed Check,DSL,Yes,Yes,1
3,54.715328071510385,18,89.21439385602471,1675.947089398541,480.60514265578524,3.393929350439305,0,2 Year,Bank Transfer,DSL,Yes,No,0
4,67.84544784612038,33,64.28490682006566,2223.4412160518773,121.93912650611242,39.86007548931429,3,2 Year,Mailed Check,Fiber Optic,No,No,0
5,41.48769937914996,34,79.72171084664681,2788.327839290001,517.555850995106,44.685660089990144,1,1 Year,Mailed Check,Fiber Optic,Yes,No,1
6,41.487945645762295,27,35.56925830552998,880.578224923776,782.6947464034813,52.882365042514444,1,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No,0
7,68.68819223261087,31,72.55628348901703,2520.285774807336,707.5259805899759,14.763286009847018,3,Month-to-Month,Bank Transfer,Fiber Optic,No,No,0
8,56.51152093729363,29,-19.7340791270217,-638.3864612597262,685.6372495621152,22.67238608890388,1,2 Year,Bank Transfer,Fiber Optic,Yes,No,0
9,37.95788421097572,30,64.39311525514046,1764.4829981623977,544.001339625104,92.79267395156432,0,2 Year,Mailed Check,DSL,No,No,0
10,53.13840065378947,21,21.085802688545797,389.7593796235329,344.1938527560427,10.842095482182884,1,2 Year,Electronic Check,Fiber Optic,No,Yes,0
11,38.04873460781307,26,106.17983549640448,2376.6373962971365,703.0588643248934,87.68500434639375,2,Month-to-Month,Credit Card,DSL,Yes,Yes,1
12,38.01405369644615,37,93.32222058293533,3530.752809482639,433.14363799307506,41.351694432532895,2,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,0
13,48.629434073490515,24,84.00012945898243,2025.43438069149,1036.8193466760913,71.81363889985874,1,2 Year,Mailed Check,Fiber Optic,Yes,Yes,0
14,16.300796330133032,33,115.63018681478141,3678.0047439950604,714.1014416709032,62.5195782210051,1,Month-to-Month,Bank Transfer,No,No,Yes,0
15,19.126232512304508,31,41.53250437525489,1555.4788272295784,483.87033948920975,11.6288639276708,4,1 Year,Bank Transfer,DSL,Yes,Yes,0
16,36.56568706138541,25,122.42089593746675,2919.406495662143,477.72295052227435,42.06063985039436,3,2 Year,Credit Card,Fiber Optic,Yes,No,0
17,29.80753319498364,20,97.96574692781154,1996.052072032669,581.4111586772824,101.1429112740991,0,2 Year,Credit Card,Fiber Optic,No,Yes,0
18,49.71370998892911,26,62.903341383431616,1603.7084564069417,552.09961559565,28.291926172999364,1,1 Year,Electronic Check,Fiber Optic,Yes,No,0
19,31.37963886718184,37,104.06860441548832,4606.444493994783,823.3667551059908,169.94615382776297,3,1 Year,Electronic Check,No,Yes,Yes,0
20,23.815444479970626,34,36.81119462765098,1002.5577132465129,637.2832339488093,30.093629376171926,3,Month-to-Month,Credit Card,DSL,Yes,No,0
21,66.98473153382331,27,45.26457515416979,1184.268083290607,453.67365221829436,7.70336297096847,1,1 Year,Mailed Check,Fiber Optic,No,No,0
22,41.61335549270196,37,51.742308302808986,2032.0624955180579,978.0881370311565,24.66849985075385,2,2 Year,Electronic Check,Fiber Optic,No,Yes,0
23,46.012923070318855,29,54.130668758079544,1534.879125845188,609.8616663040445,151.51867706575032,3,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,0
24,23.628777206798148,30,38.30327071719242,999.2175053774833,753.7679351937793,19.26260246869034,1,1 Year,Bank Transfer,No,Yes,Yes,1
25,36.834259132122256,38,106.69249201285976,4125.912691480702,478.3546985110481,101.2848634193113,0,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,0
26,46.663838845647994,26,62.23436798890505,1355.7482486727076,672.6231255489047,106.53702882814675,2,Month-to-Month,Credit Card,DSL,No,Yes,0
27,27.735096338665457,39,80.57514905070639,3353.047474478213,662.221998228639,21.553495889210467,3,Month-to-Month,Electronic Check,DSL,No,No,0
28,50.63547027518508,32,52.88945900758958,1622.5194811710892,222.07014158076942,4.346441277161916,2,Month-to-Month,Bank Transfer,DSL,Yes,Yes,0
29,35.99041965121793,34,15.381900983544483,492.57454354388244,1003.055022092128,64.4688934533649,3,1 Year,Credit Card,DSL,No,No,0
30,40.62459375310085,24,78.10172075174266,2070.5371300714,858.1288921845094,18.662891223230492,0,2 Year,Electronic Check,Fiber Optic,Yes,No,0
31,35.97440081655905,47,12.632350737406696,534.1570087682255,520.5609367708025,76.37529896761743,2,2 Year,Mailed Check,No,No,No,0
32,72.78417276763406,37,67.94097861743595,2126.06846578321,379.5460519088289,29.228528447804297,4,1 Year,Bank Transfer,No,Yes,Yes,1
33,44.79754162893099,26,28.950548835015688,684.1809459715371,669.5123227607104,33.20532293976353,4,2 Year,Mailed Check,No,No,Yes,1
34,29.134336065661493,29,129.61827997692424,4528.38336163438,617.3395398828793,75.23349513208136,2,Month-to-Month,Mailed Check,Fiber Optic,Yes,Yes,0
35,57.338173681547836,28,97.34088166524165,2451.9851508832107,671.1337897126459,24.09274543765256,2,Month-to-Month,Mailed Check,No,No,Yes,0
36,26.687345250434667,24,73.1726137381444,1820.333850482573,638.3154792388179,29.270934617233934,1,Month-to-Month,Electronic Check,DSL,No,Yes,1
37,48.132953925071334,46,107.91120032964005,5382.548634941669,701.2481978611852,23.59550978101458,1,1 Year,Mailed Check,Fiber Optic,Yes,Yes,0
38,15.604948141803366,33,44.610520676027924,1333.8021604746164,889.4611398783613,22.891147020281412,0,Month-to-Month,Electronic Check,No,No,No,0
39,25.077209266523543,35,86.3043813601028,2737.178775348628,713.6206410257292,37.321762833953315,2,Month-to-Month,Electronic Check,DSL,No,Yes,0
40,47.952918538036855,25,75.9943130115614,1934.085404530033,390.0689002180118,82.72161865201736,0,1 Year,Mailed Check,DSL,No,No,0
41,56.07699869993115,24,77.9206024400101,1912.2318415754366,872.5125705424904,22.45269570513162,1,Month-to-Month,Mailed Check,Fiber Optic,No,No,0
42,47.57052421784956,27,108.17060500320304,3314.1922348929825,928.1229126976575,37.1436347581243,3,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,1
43,43.265275764176394,29,91.97476308339407,2462.0934831694026,1230.4113469024169,55.54345367167047,0,2 Year,Bank Transfer,No,Yes,Yes,1
44,40.48344456616067,32,78.66170988475069,2422.2134160816076,375.3011933520804,15.697157886712882,2,1 Year,Credit Card,No,No,Yes,0
45,22.822170144488588,24,20.353376913151116,627.1313279694184,648.576402630055,16.253471168622177,1,Month-to-Month,Bank Transfer,No,Yes,Yes,0
46,34.20233687407937,33,41.198611141616084,1115.8370570899551,183.58025936220253,135.46239116586557,2,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,0
47,38.09041843560319,36,66.31873199212828,1910.5314311865936,710.6298312758419,64.28347525049536,0,Month-to-Month,Credit Card,No,Yes,Yes,0
48,60.856833393283736,31,72.80117122829954,1944.70659914518,490.35994036664545,43.041225614634065,2,Month-to-Month,Credit Card,No,Yes,No,0
49,50.15427434352692,25,36.09388825978228,1001.7502717427307,984.6891589649906,52.16645597630094,1,2 Year,Bank Transfer,DSL,Yes,No,0
50,18.55439766955899,26,142.35030026735262,3538.893828474881,445.0770059962836,1.486862227897426,3,2 Year,Bank Transfer,DSL,No,No,0
51,49.86125954092192,30,115.49182165760718,3312.7743208260713,262.16339240654764,48.13021250320643,3,2 Year,Bank Transfer,DSL,Yes,No,0
52,39.22376579375525,16,88.0635496117745,1273.0152986190242,505.7472518594961,35.617404515091,2,2 Year,Electronic Check,No,No,No,1
53,34.84616999541062,29,72.16110583851234,2284.866902709588,204.9024457565725,39.45534333813251,2,1 Year,Bank Transfer,Fiber Optic,Yes,No,1
54,54.175144332613016,27,63.63373090296545,1483.1498555344012,750.219890901462,22.26936185260359,2,Month-to-Month,Mailed Check,DSL,No,Yes,0
55,60.46499283743927,16,41.442446199332934,624.5209577464733,186.98339074873587,4.249247817263855,0,2 Year,Mailed Check,Fiber Optic,No,Yes,0
56,58.96920178674298,32,72.32441555556588,2100.1523447749187,605.6915162366317,10.74260314606855,2,Month-to-Month,Mailed Check,No,No,Yes,0
57,32.41173715166042,29,77.73257620428252,1651.849028042238,184.43763602876066,150.53692855948015,2,1 Year,Credit Card,No,Yes,No,0
58,40.36181436223178,30,32.74718273555127,935.4325473015771,535.9404390926716,26.27155179365433,1,Month-to-Month,Credit Card,DSL,Yes,No,1
59,49.96895147105346,23,80.02529251734693,1829.6893288958781,928.6756311609067,31.43197885415952,3,Month-to-Month,Credit Card,Fiber Optic,No,No,0
