StoreSize,StoreAge,CompetitionDistance,ParkingSpace,PopulationDensity,MedianIncome,StoreType,LocationType,WeeklyPromo,StaffCount,InventoryTurnover,HighPerformance
17483.570765056164,12,5.571969881444919,1803.4933827847847,6199.6835892361005,68102.926707392,Supermarket,Rural,1,14.56545848383353,14.814510231696957,1
14308.678494144076,17,4.142314128739125,1470.637095188497,5905.62469087183,56696.38239491807,Grocery,Rural,1,16.16297098488653,18.450980467735018,0
18238.442690503463,8,2.344126972463096,2092.6138307476313,3306.614079878723,73593.77726193568,Supermarket,Urban,1,19.53046328220699,15.336557277274276,1
22615.149282040125,11,7.166357194112512,2152.1730862078325,5361.427415200311,80374.21334245645,Grocery,Suburban,1,19.891537737722903,14.872719883146319,1
13829.23312638332,3,6.4735155108821765,1311.8332788322984,4168.543190388706,74705.15546573747,Grocery,Suburban,0,11.504475741048067,13.562389877411352,0
13829.315215254097,6,3.8660780488935123,1448.4974437874387,4068.3845552545126,64940.2827575945,Supermarket,Urban,1,15.69362932695502,18.15676780123189,0
22896.064077536957,9,5.139558426997596,2411.480007813405,3883.9579785712463,57862.16995109862,Supermarket,Urban,1,19.039467799575743,11.157636549998369,1
18837.173645764546,6,7.084038966325874,1860.5741843222838,6637.626786068688,63960.4695594333,Supermarket,Rural,0,15.758078366659381,12.594091194651247,1
12652.62807032524,9,4.085923328275206,1236.4448586117107,6048.7579083346955,74839.57197439462,Convenience,Rural,0,12.285237696671308,10.985365854643838,0
17712.800217929824,7,4.396230989618896,1767.1335761609544,5117.344627670646,75353.99598759378,Supermarket,Rural,1,15.125298976185853,15.602055525150497,1
12682.911535937688,9,5.487265000014747,1451.4553773564344,3744.5485517340603,73262.39873264183,Grocery,Suburban,1,14.781525499726875,18.539242819246333,0
12671.351232148716,18,4.081817872890828,1247.452409869095,4059.341137381843,45761.33687664433,Convenience,Suburban,1,12.520734159810537,14.013613747291656,0
16209.81135783017,12,6.714183993974045,1906.2295901087375,4795.849906806601,64654.66312346885,Grocery,Urban,0,16.658181098477996,11.791783395675417,1
5433.598776711011,8,4.662198439385124,544.2300714702707,3217.5866322189663,55498.56553704273,Supermarket,Urban,1,6.364061466347279,19.909339451114914,0
6375.410837434836,8,3.431928250012052,752.0946424430316,5407.473573946756,74973.93529858741,Convenience,Urban,0,6.452587036119022,16.3538491999452,0
12188.562353795136,18,6.217277659747989,1381.125930950052,2618.13233283564,53525.42369932105,Supermarket,Suburban,1,11.474756975136371,15.832572430902836,0
9935.844398327881,15,2.7157387011373064,938.9100009298726,4587.765531996108,71780.80637126337,Supermarket,Suburban,1,11.116839155749785,14.429428073480995,0
16571.23666297637,7,9.029757122248427,1898.16318840833,565.4266753110551,60767.183587782056,Convenience,Rural,1,16.192419501824112,17.007042515572444,1
10459.879622393946,11,8.164992727160405,882.8403179350756,3174.072210096805,36813.55725101388,Grocery,Rural,0,9.700364440000381,15.78556669283601,0
7938.481493323543,16,6.026990953842031,928.817314742353,7116.515699379165,78964.38928831996,Supermarket,Rural,1,8.647322663685413,13.556194714861858,1
